time (s),time delta (s),carrier freq (Mhz)
40.356,0.15,924.0
40.506,0.15,905.0
40.656,0.15,915.5
40.806,0.15,927.0
40.956,0.15,911.0
41.106,0.15,914.5
41.256,0.15,907.0
41.406,0.15,924.5
41.557,0.151,910.0
41.707,0.15,910.5
41.857,0.15,912.5
42.007,0.15,917.0
42.157,0.15,920.5
42.307,0.15,907.5
42.457,0.15,916.0
42.607,0.15,917.5
42.757,0.15,923.0
42.907,0.15,916.5
43.057,0.15,905.5
43.207,0.15,925.5
43.357,0.15,926.5
43.507,0.15,920.0
43.657,0.15,918.0
43.807,0.15,919.5
43.957,0.15,922.5
44.107,0.15,902.5
44.257,0.15,923.5
44.408,0.151,909.5
44.557,0.149,903.5
44.697,0.14,915.0
45.063,0.366,909.0
45.158,0.095,921.5
45.308,0.15,919.0
45.458,0.15,904.0
45.608,0.15,914.0
45.758,0.15,922.0
45.908,0.15,926.0
46.058,0.15,921.0
46.208,0.15,913.0
46.358,0.15,903.0
46.508,0.15,908.0
46.658,0.15,913.5
46.808,0.15,904.5
46.958,0.15,906.5
47.108,0.15,918.5
47.258,0.15,915.0
47.408,0.15,912.0
47.559,0.151,908.5
47.709,0.15,906.0
47.859,0.15,924.0
48.009,0.15,905.0
48.159,0.15,915.5
48.309,0.15,927.0
48.459,0.15,911.0
48.609,0.15,914.5
48.759,0.15,907.0
48.909,0.15,924.5
49.059,0.15,910.0
49.209,0.15,910.5
49.359,0.15,912.5
49.509,0.15,917.0
49.659,0.15,920.5
49.81,0.151,907.5
49.96,0.15,916.0
50.109,0.149,917.5
50.26,0.151,923.0
50.409,0.149,916.5
50.56,0.151,905.5
50.71,0.15,925.5
50.86,0.15,926.5
51.01,0.15,920.0
51.16,0.15,918.0
51.31,0.15,919.5
51.46,0.15,922.5
51.61,0.15,902.5
51.76,0.15,923.5
51.91,0.15,909.5
52.06,0.15,903.5
52.21,0.15,911.5
52.36,0.15,925.0
52.51,0.15,909.0
52.66,0.15,921.5
52.81,0.15,919.0
52.96,0.15,904.0
53.11,0.15,914.0
53.26,0.15,922.0
53.41,0.15,926.0
53.561,0.151,921.0
53.71,0.149,913.0
53.861,0.151,903.0
54.011,0.15,908.0
54.161,0.15,913.5
54.311,0.15,904.5
54.461,0.15,906.5
54.544,0.083,915.0
54.909,0.365,915.0
54.911,0.002,912.0
55.061,0.15,908.5
55.211,0.15,906.0
55.361,0.15,924.0
55.511,0.15,905.0
55.661,0.15,915.5
55.811,0.15,927.0
55.961,0.15,911.0
56.111,0.15,914.5
56.261,0.15,907.0
56.411,0.15,924.5
56.562,0.151,910.0
56.711,0.149,910.5
56.862,0.151,912.5
57.012,0.15,917.0
57.162,0.15,920.5
57.312,0.15,907.5
57.462,0.15,916.0
57.612,0.15,917.5
57.762,0.15,923.0
57.912,0.15,916.5
58.062,0.15,905.5
58.212,0.15,925.5
58.362,0.15,926.5
58.512,0.15,920.0
58.662,0.15,918.0
58.812,0.15,919.5
58.962,0.15,922.5
59.112,0.15,902.5
59.262,0.15,923.5
59.412,0.15,909.5
59.562,0.15,903.5
59.712,0.15,911.5
59.863,0.151,925.0
60.013,0.15,909.0
60.163,0.15,921.5
60.313,0.15,919.0
60.463,0.15,904.0
60.613,0.15,914.0
60.763,0.15,922.0
60.913,0.15,926.0
61.063,0.15,921.0
61.213,0.15,913.0
61.363,0.15,903.0
61.513,0.15,908.0
61.663,0.15,913.5
61.813,0.15,904.5
61.963,0.15,906.5
62.113,0.15,918.5
62.263,0.15,915.0
62.413,0.15,912.0
62.563,0.15,908.5
62.713,0.15,906.0
62.864,0.151,924.0
63.014,0.15,905.0
63.164,0.15,915.5
63.314,0.15,927.0
63.464,0.15,911.0
63.614,0.15,914.5
63.764,0.15,907.0
63.914,0.15,924.5
64.064,0.15,910.0
64.214,0.15,910.5
64.321,0.107,915.0
64.688,0.367,920.5
64.814,0.126,907.5
64.964,0.15,916.0
65.114,0.15,917.5
65.264,0.15,923.0
65.414,0.15,916.5
65.564,0.15,905.5
65.714,0.15,925.5
65.864,0.15,926.5
66.015,0.151,920.0
66.165,0.15,918.0
66.315,0.15,919.5
66.465,0.15,922.5
66.615,0.15,902.5
66.765,0.15,923.5
66.915,0.15,909.5
67.065,0.15,903.5
67.215,0.15,911.5
67.365,0.15,925.0
67.515,0.15,909.0
67.665,0.15,921.5
67.815,0.15,919.0
67.965,0.15,904.0
68.115,0.15,914.0
68.265,0.15,922.0
68.415,0.15,926.0
68.565,0.15,921.0
68.715,0.15,913.0
68.865,0.15,903.0
69.016,0.151,908.0
69.166,0.15,913.5
